2;2                                  0              
2;2                                  0              ;2                                                 
2;2                                  0              ;2                                                 ;2                    7                           5
2;2                                  0              ;2                                                 ;2                    7                           5
82   70                        6 4         0      ;82  0         9                  6 4         0    ;82   70                        6 4          0     ;82   705    1                    6 4         0    ;82   70                         6 4         0     
82   70                        6 4         0      ;82  0         9                  6 4         0    ;82   70                        6 4          0     ;82   70                         6 4         0     ;82   70                         6 4         0     
82   70                        6 4         0      ;82   70                        6 4          0     ;82   70                         6 4         0     ;82   70                         6 4         0     ;82   70                      6 4         0        
82   70                        6 4          0     ;82   70                         6 4         0     ;82   70                         6 4         0     ;82   70                      6 4         0        ;82   70                        6 4           0    
82   70                         6 4         0     ;82   70                         6 4         0     ;82   70                      6 4         0        ;82   70                        6 4           0    ;82   70                        6 4        0       
82   70                         6 4         0     ;82   70                      6 4         0        ;82   70                        6 4           0    ;82   70                        6 4        0       ;82   70            8             6 4         0    
82   70                         6 4         0     ;82   70                        6 4           0    ;82   70                        6 4        0       ;82   70            8             6 4         0    ;82   70           4              6 4         0    
82   70                        6 4           0    ;82   70                        6 4        0       ;82   70            8             6 4         0    ;82   70           4              6 4         0    
82   70                        6 4           0    ;82   70                        6 4        0       ;82   70            8             6 4         0    ;82   70           4              6 4         0    ;82   70                       6 4           20    
82   70                        6 4           0    ;82   70                        6 4        0       ;82   70            8             6 4         0    ;82   70                       6 4           20    ;82   570                       8 6 4           0  
82   70                        6 4           0    ;82   70            8             6 4         0    ;82   70                       6 4           20    ;82   570                       8 6 4           0  ;82   70                       6 4           0   3 
82   70                        6 4           0    ;82   70            8             6 4         0    ;82   570                       8 6 4           0  ;82   70                       6 4           0   3 ;82     70      9                  6 4           0 
82   70                        6 4           0    ;82   70            8             6 4         0    ;82   70                       6 4           0   3 ;82     70      9                  6 4           0 ;82   70    1                  9  6 4           0  
82   70                        6 4           0    ;82   70            8             6 4         0    ;82   70                       6 4           0   3 ;82   70    1                  9  6 4           0  ;82   70                       46            0     
82   70            8             6 4         0    ;82   70                       6 4           0   3 ;82   70    1                  9  6 4           0  ;82   70                       46            0     ;82   70            8             6 4        07    
82   70            8             6 4         0    ;82   70                       6 4           0   3 ;82   70                       46            0     ;82   70            8             6 4        07    ;82   700            8             6 4         0   
82   70                       6 4           0   3 ;82   70                       46            0     ;82   70            8             6 4        07    ;82   700            8             6 4         0   ;82   70                        6 4           0   3
82   70                       46            0     ;82   70            8             6 4        07    ;82   700            8             6 4         0   ;82   70                        6 4           0   3;82   70                      46             0   6 
82   70                       46            0     ;82   700            8             6 4         0   ;82   70                        6 4           0   3;82   70                      46             0   6 ;82   70                       46          5  0    
82   700            8             6 4         0   ;82   70                        6 4           0   3;82   70                      46             0   6 ;82   70                       46          5  0    ;82   700           8             76 4         0   
82   700            8             6 4         0   ;82   70                      46             0   6 ;82   70                       46          5  0    ;82   700           8             76 4         0   ;82   700            8             6 4         0   
82   70                      46             0   6 ;82   70                       46          5  0    ;82   700           8             76 4         0   ;82   700            8             6 4         0   ;82   70                      46             0   6 
82   70                      46             0   6 ;82   70                       46          5  0    ;82   700            8             6 4         0   ;82   70                      46             0   6 ;82   70                      46      9       0   6
82   70                      46             0   6 ;82   700            8             6 4         0   ;82   70                      46             0   6 ;82   70                      46      9       0   6;82   70                       46             0   6
82   700            8             6 4         0   ;82   70                      46             0   6 ;82   70                      46      9       0   6;82   70                       46             0   6;82   700            8             6 4         0   
82   700            8             6 4         0   ;82   70                      46             0   6 ;82   70                       46             0   6;82   700            8             6 4         0   ;82   700            8              6 4         0  
82   700            8             6 4         0   ;82   70                       46             0   6;82   700            8             6 4         0   ;82   700            8              6 4         0  ;82   700           8             6 4         0   5
82   70                       46             0   6;82   700            8             6 4         0   ;82   700            8              6 4         0  ;82   700           8             6 4         0   5;82   70                       46              0   
82   70                       46             0   6;82   700            8              6 4         0  ;82   700           8             6 4         0   5;82   70                       46              0   ;82    70                       46              0  
82   700            8              6 4         0  ;82   700           8             6 4         0   5;82   70                       46              0   ;82    70                       46              0  ;892  700            8              6 4         0  
82   700            8              6 4         0  ;82   700           8             6 4         0   5;82   70                       46              0   ;82    70                       46              0  ;82   700       3    8               6 4         0 
82   700            8              6 4         0  ;82   70                       46              0   ;82    70                       46              0  ;82   700       3    8               6 4         0 ;82   6700           8              6 4         0  
82   700            8              6 4         0  ;82    70                       46              0  ;82   700       3    8               6 4         0 ;82   6700           8              6 4         0  ;82   700            8              6 4         0  
82   700            8              6 4         0  ;82   700       3    8               6 4         0 ;82   6700           8              6 4         0  ;82   700            8              6 4         0  ;82   700            8            1  6 4         0 
82   700       3    8               6 4         0 ;82   6700           8              6 4         0  ;82   700            8              6 4         0  ;82   700            8            1  6 4         0 ;82   700       3    8               6 4         0 
82   6700           8              6 4         0  ;82   700            8              6 4         0  ;82   700            8            1  6 4         0 ;82   700       3    8               6 4         0 ;82 0  6700           8              6 4         0 
82   700            8              6 4         0  ;82   700            8            1  6 4         0 ;82   700       3    8               6 4         0 ;82 0  6700           8              6 4         0 ;82   700            8              6 4         0  
82   700            8              6 4         0  ;82   700       3    8               6 4         0 ;82 0  6700           8              6 4         0 ;82   700            8              6 4         0  ;82   700            8              6 4         0  
82   700            8              6 4         0  ;82   700       3    8               6 4         0 ;82 0  6700           8              6 4         0 ;82   700            8              6 4         0  ;82   700            8              6 42         0 
82   700            8              6 4         0  ;82   700       3    8               6 4         0 ;82   700            8              6 42         0 ;82   700              9         8   6 4         0 
82   700            8              6 4         0  ;82   700       3    8               6 4         0 ;82   700            8              6 42         0 ;82   700              9         8   6 4         0 ;82   700            8              6 4          0 
82   700       3    8               6 4         0 ;82   700            8              6 42         0 ;82   700              9         8   6 4         0 ;82   700            8              6 4          0 ;82  700       3    8               6 4         0  
82   700            8              6 42         0 ;82   700              9         8   6 4         0 ;82   700            8              6 4          0 ;82  700       3    8               6 4         0  ;82   700            8              6 42      0   0
82   700            8              6 42         0 ;82   700              9         8   6 4         0 ;82   700            8              6 4          0 ;82  700       3    8               6 4         0  ;82    700            8              6 42         0
82   700            8              6 42         0 ;82   700              9         8   6 4         0 ;82   700            8              6 4          0 ;82    700            8              6 42         0;82   700            8               6 42         0
82   700              9         8   6 4         0 ;82   700            8              6 4          0 ;82    700            8              6 42         0;82   700            8               6 42         0;82   700              9         8   6  4        0 
82   700              9         8   6 4         0 ;82   700            8              6 4          0 ;82   700            8               6 42         0;82   700              9         8   6  4        0 ;82   700    7          9         8   6 4         0
82   700              9         8   6 4         0 ;82   700            8               6 42         0;82   700              9         8   6  4        0 ;82   700    7          9         8   6 4         0;82   700              9         38   6 4         0
82   700            8               6 42         0;82   700              9         8   6  4        0 ;82   700    7          9         8   6 4         0;82   700              9         38   6 4         0;82   700            8               6 42     8    
82   700              9         8   6  4        0 ;82   700    7          9         8   6 4         0;82   700              9         38   6 4         0;82   700            8               6 42     8    ;82   700              9        8   6  4       0   
82   700              9         8   6  4        0 ;82   700              9         38   6 4         0;82   700            8               6 42     8    ;82   700              9        8   6  4       0   ;82   700              9          8  6  4        0 
82   700              9         38   6 4         0;82   700            8               6 42     8    ;82   700              9        8   6  4       0   ;82   700              9          8  6  4        0 ;882   700              9         38   6 4        3
82   700            8               6 42     8    ;82   700              9        8   6  4       0   ;82   700              9          8  6  4        0 ;882   700              9         38   6 4        3;82   700   1        9 8               6 42     8  
82   700              9        8   6  4       0   ;82   700              9          8  6  4        0 ;882   700              9         38   6 4        3;82   700   1        9 8               6 42     8  ;82   700              9        8   6  4       0   
82   700              9        8   6  4       0   ;82   700              9          8  6  4        0 ;82   700   1        9 8               6 42     8  ;82   700              9        8   6  4       0   ;82   700              9  6      8   6  4 5      0 
82   700              9        8   6  4       0   ;82   700              9          8  6  4        0 ;82   700   1        9 8               6 42     8  ;82   700              9  6      8   6  4 5      0 ;82   700            9  9        88   6  4       0 
82   700              9          8  6  4        0 ;82   700   1        9 8               6 42     8  ;82   700              9  6      8   6  4 5      0 ;82   700            9  9        88   6  4       0 ;82   700              9          8  6  4    8    0
82   700   1        9 8               6 42     8  ;82   700              9  6      8   6  4 5      0 ;82   700            9  9        88   6  4       0 ;82   700              9          8  6  4    8    0;82   700    1        9 85   1            6 42     
82   700              9  6      8   6  4 5      0 ;82   700            9  9        88   6  4       0 ;82   700              9          8  6  4    8    0;82   700    1        9 85   1            6 42     ;82   700              9  6      8   6  4 5      30
82   700              9  6      8   6  4 5      0 ;82   700            9  9        88   6  4       0 ;82   700    1        9 85   1            6 42     ;82   700              9  6      8   6  4 5      30;82   700              9  6      8   6  4 5      70
82   700              9  6      8   6  4 5      0 ;82   700            9  9        88   6  4       0 ;82   700              9  6      8   6  4 5      30;82   700              9  6      8   6  4 5      70;82   700              9  6      8   6  4 5      0 
82   700            9  9        88   6  4       0 ;82   700              9  6      8   6  4 5      30;82   700              9  6      8   6  4 5      70;82   700              9  6      8   6  4 5      0 ;82   700           39  9        8   6  4       0  
82   700              9  6      8   6  4 5      30;82   700              9  6      8   6  4 5      70;82   700              9  6      8   6  4 5      0 ;82   700           39  9        8   6  4       0  ;82   700             9  6      8   6  4 5    1  30
82   700              9  6      8   6  4 5      30;82   700              9  6      8   6  4 5      0 ;82   700           39  9        8   6  4       0  ;82   700             9  6      8   6  4 5    1  30;82   7000              9  6      8   6  4 5      3
82   700              9  6      8   6  4 5      30;82   700           39  9        8   6  4       0  ;82   700             9  6      8   6  4 5    1  30;82   7000              9  6      8   6  4 5      3;812   70              9  6      8   6  4 5      30
82   700           39  9        8   6  4       0  ;82   700             9  6      8   6  4 5    1  30;82   7000              9  6      8   6  4 5      3;812   70              9  6      8   6  4 5      30;82   700           39  9      8   8   6  4       0
82   700           39  9        8   6  4       0  ;82   700             9  6      8   6  4 5    1  30;82   7000              9  6      8   6  4 5      3;812   70              9  6      8   6  4 5      30;82   700           39  9        88   6  4   0    0
82   700           39  9        8   6  4       0  ;82   7000              9  6      8   6  4 5      3;812   70              9  6      8   6  4 5      30;82   700           39  9        88   6  4   0    0;82   700           39  9      4  8   6  4       0 
82   700           39  9        8   6  4       0  ;812   70              9  6      8   6  4 5      30;82   700           39  9        88   6  4   0    0;82   700           39  9      4  8   6  4       0 ;82   700           39  9        8   6  4       0  
812   70              9  6      8   6  4 5      30;82   700           39  9        88   6  4   0    0;82   700           39  9      4  8   6  4       0 ;82   700           39  9        8   6  4       0  ;812   70            9  6      8   6  4 5      30  
812   70              9  6      8   6  4 5      30;82   700           39  9        88   6  4   0    0;82   700           39  9      4  8   6  4       0 ;812   70            9  6      8   6  4 5      30  ;812   70             9  6      8   6  4 5     3 30
812   70              9  6      8   6  4 5      30;82   700           39  9        88   6  4   0    0;812   70            9  6      8   6  4 5      30  ;812   70             9  6      8   6  4 5     3 30;5812   70             9 6 6      8   6  4 5      3
82   700           39  9        88   6  4   0    0;812   70            9  6      8   6  4 5      30  ;812   70             9  6      8   6  4 5     3 30;5812   70             9 6 6      8   6  4 5      3;82   700            39  9        88   6  4   0    
812   70            9  6      8   6  4 5      30  ;812   70             9  6      8   6  4 5     3 30;5812   70             9 6 6      8   6  4 5      3;82   700            39  9        88   6  4   0    ;812   70            9  6      8   6  4 5      30  
812   70             9  6      8   6  4 5     3 30;5812   70             9 6 6      8   6  4 5      3;82   700            39  9        88   6  4   0    ;812   70            9  6      8   6  4 5      30  ;812   870    8         9  6      8 4  6  4 5     3
5812   70             9 6 6      8   6  4 5      3;82   700            39  9        88   6  4   0    ;812   70            9  6      8   6  4 5      30  ;812   870    8         9  6      8 4  6  4 5     3;5812   70             9 6 6     7 8   6  4 5      
5812   70             9 6 6      8   6  4 5      3;812   70            9  6      8   6  4 5      30  ;812   870    8         9  6      8 4  6  4 5     3;5812   70             9 6 6     7 8   6  4 5      ;5812   70         3    9 06 6      8   6  4 5     
812   70            9  6      8   6  4 5      30  ;812   870    8         9  6      8 4  6  4 5     3;5812   70             9 6 6     7 8   6  4 5      ;5812   70         3    9 06 6      8   6  4 5     ;812   70            9  6      8   6  4 5      30  
812   70            9  6      8   6  4 5      30  ;812   870    8         9  6      8 4  6  4 5     3;5812   70         3    9 06 6      8   6  4 5     ;812   70            9  6      8   6  4 5      30  ;812   70         4   9  6      8   6  4 5      30 
812   70            9  6      8   6  4 5      30  ;5812   70         3    9 06 6      8   6  4 5     ;812   70            9  6      8   6  4 5      30  ;812   70         4   9  6      8   6  4 5      30 ; 812   70            9  6      8   6  4 5      30 
812   70            9  6      8   6  4 5      30  ;812   70            9  6      8   6  4 5      30  ;812   70         4   9  6      8   6  4 5      30 ; 812   70            9  6      8   6  4 5      30 ;81   70            9  6      8   6  4 5      30   
812   70            9  6      8   6  4 5      30  ;812   70         4   9  6      8   6  4 5      30 ; 812   70            9  6      8   6  4 5      30 ;81   70            9  6      8   6  4 5      30   ;812   70            9  6      8   6  4 5      303 
812   70            9  6      8   6  4 5      30  ;812   70         4   9  6      8   6  4 5      30 ; 812   70            9  6      8   6  4 5      30 ;81   70            9  6      8   6  4 5      30   ;812   70            9  6      8   6  4 5      30  
812   70         4   9  6      8   6  4 5      30 ; 812   70            9  6      8   6  4 5      30 ;81   70            9  6      8   6  4 5      30   ;812   70            9  6      8   6  4 5      30  ;812   70         44   9  6      8   6  4 5      30
812   70         4   9  6      8   6  4 5      30 ; 812   70            9  6      8   6  4 5      30 ;81   70            9  6      8   6  4 5      30   ;812   70         44   9  6      8   6  4 5      30;82   70    7     4    9  6      8   6  4 5      30
812   70         4   9  6      8   6  4 5      30 ; 812   70            9  6      8   6  4 5      30 ;812   70         44   9  6      8   6  4 5      30;82   70    7     4    9  6      8   6  4 5      30;812   70    1     4   39  6      8   6  45      30
812   70         4   9  6      8   6  4 5      30 ;812   70         44   9  6      8   6  4 5      30;82   70    7     4    9  6      8   6  4 5      30;812   70    1     4   39  6      8   6  45      30;812   70    2     4  7 9  6       8   6  4 5      
812   70         4   9  6      8   6  4 5      30 ;812   70         44   9  6      8   6  4 5      30;82   70    7     4    9  6      8   6  4 5      30;812   70    1     4   39  6      8   6  45      30;8 12   70         4   9  6      8   6  4       30 
812   70         4   9  6      8   6  4 5      30 ;82   70    7     4    9  6      8   6  4 5      30;812   70    1     4   39  6      8   6  45      30;8 12   70         4   9  6      8   6  4       30 ;812   70         4   9  6      8   6 4 5      30  
82   70    7     4    9  6      8   6  4 5      30;812   70    1     4   39  6      8   6  45      30;8 12   70         4   9  6      8   6  4       30 ;812   70         4   9  6      8   6 4 5      30  ;82  2 70    7     4    9        8   6  4 5      30
812   70    1     4   39  6      8   6  45      30;8 12   70         4   9  6      8   6  4       30 ;812   70         4   9  6      8   6 4 5      30  ;82  2 70    7     4    9        8   6  4 5      30;8112   70    1     4   39  6      8   6  45      3
812   70    1     4   39  6      8   6  45      30;8 12   70         4   9  6      8   6  4       30 ;812   70         4   9  6      8   6 4 5      30  ;8112   70    1     4   39  6      8   6  45      3;812   70    1     4   39  6       8    6  45      
8 12   70         4   9  6      8   6  4       30 ;812   70         4   9  6      8   6 4 5      30  ;8112   70    1     4   39  6      8   6  45      3;812   70    1     4   39  6       8    6  45      ;8 12  70          4   9  6      8   6  4       30 
8 12   70         4   9  6      8   6  4       30 ;8112   70    1     4   39  6      8   6  45      3;812   70    1     4   39  6       8    6  45      ;8 12  70          4   9  6      8   6  4       30 ;8 12   70    3     4   9  6      8   6  4 8      3
8 12   70         4   9  6      8   6  4       30 ;8112   70    1     4   39  6      8   6  45      3;812   70    1     4   39  6       8    6  45      ;8 12  70          4   9  6      8   6  4       30 ;8 12   70         4   9  6      8   6  4      30  
8 12   70         4   9  6      8   6  4       30 ;8112   70    1     4   39  6      8   6  45      3;812   70    1     4   39  6       8    6  45      ;8 12   70         4   9  6      8   6  4      30  ;8 12   70         4   9  6      8    6  4       30
8112   70    1     4   39  6      8   6  45      3;812   70    1     4   39  6       8    6  45      ;8 12   70         4   9  6      8   6  4      30  ;8 12   70         4   9  6      8    6  4       30;8112   70    1     4  5 39  6      8   6  45      
8112   70    1     4   39  6      8   6  45      3;8 12   70         4   9  6      8   6  4      30  ;8 12   70         4   9  6      8    6  4       30;8112   70    1     4  5 39  6      8   6  45      ;8112   7  3  1     4   39  6      8   6  45      3
8112   70    1     4   39  6      8   6  45      3;8 12   70         4   9  6      8    6  4       30;8112   70    1     4  5 39  6      8   6  45      ;8112   7  3  1     4   39  6      8   6  45      3;8112   70     1     4   3  6      8   6  45      3
8112   70    1     4   39  6      8   6  45      3;8112   70    1     4  5 39  6      8   6  45      ;8112   7  3  1     4   39  6      8   6  45      3;8112   70     1     4   3  6      8   6  45      3;8112   70    1     4   39  6      8   6  45      3
8112   70    1     4   39  6      8   6  45      3;8112   70    1     4  5 39  6      8   6  45      ;8112   70     1     4   3  6      8   6  45      3;8112   70    1     4   39  6      8   6  45      3;8112   70    1      4   39  6      8   6  45      
8112   70    1     4   39  6      8   6  45      3;8112   70    1     4  5 39  6      8   6  45      ;8112   70     1     4   3  6      8   6  45      3;8112   70    1      4   39  6      8   6  45      ;8112   70    1     4   39  6      8   6  45      3
8112   70    1     4   39  6      8   6  45      3;8112   70    1     4  5 39  6      8   6  45      ;8112   70    1      4   39  6      8   6  45      ;8112   70    1     4   39  6      8   6  45      3;8112   70    1     4   39  6      8   6  45      3
8112   70    1     4   39  6      8   6  45      3;8112   70    1      4   39  6      8   6  45      ;8112   70    1     4   39  6      8   6  45      3;8112   70    1     4   39  6      8   6  45      3;8112   70    1     4   39  6     8   6  45      3 
8112   70    1      4   39  6      8   6  45      ;8112   70    1     4   39  6      8   6  45      3;8112   70    1     4   39  6      8   6  45      3;8112   70    1     4   39  6     8   6  45      3 ;8112   70  5  1      4 2  39  6      8   6  45    
8112   70    1      4   39  6      8   6  45      ;8112   70    1     4   39  6      8   6  45      3;8112   70    1     4   39  6      8   6  45      3;8112   70  5  1      4 2  39  6      8   6  45    ;8112   70    1     4   39  6      8   6  45    0  
8112   70    1      4   39  6      8   6  45      ;8112   70    1     4   39  6      8   6  45      3;8112   70  5  1      4 2  39  6      8   6  45    ;8112   70    1     4   39  6      8   6  45    0  ;8112   700    1      4   39  6      8   6  45     
8112   70    1      4   39  6      8   6  45      ;8112   70    1     4   39  6      8   6  45      3;8112   70  5  1      4 2  39  6      8   6  45    ;8112   700    1      4   39  6      8   6  45     ;8112   70    1      4   739  6      8   6   45    
8112   70    1      4   39  6      8   6  45      ;8112   70    1     4   39  6      8   6  45      3;8112   70  5  1      4 2  39  6      8   6  45    ;8112   70    1      4   739  6      8   6   45    ;8112   70    1      4   39  6      8   6  45      
8112   70    1      4   39  6      8   6  45      ;8112   70    1     4   39  6      8   6  45      3;8112   70    1      4   739  6      8   6   45    ;8112   70    1      4   39  6      8   6  45      ;8112   70   1      4   39  6      8  6 45         
8112   70    1      4   39  6      8   6  45      ;8112   70    1     4   39  6      8   6  45      3;8112   70    1      4   39  6      8   6  45      ;8112   70   1      4   39  6      8  6 45         ;8112   70    1      4  39  6      8   6  45       
